ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss
5_backofbody,back [of body],2323,BACK (PART),espalda
8_belly,belly,1251,BELLY,barriga
13_blood,blood,946,BLOOD,sangre
15_bone,bone,1394,BONE,hueso
33_ear,ear,1247,EAR,oreja
37_eye,eye,1248,EYE,ojo
40_fatgrease,fat (grease),323,FAT (ORGANIC SUBSTANCE),grasa
43_featherlarge,feather [large],1201,FEATHER,pluma
53_foot,foot,1301,FOOT,pie
59_guts,guts,1334,GUTS,tripas intestinos
60_hair,hair,1040,HAIR,cabello pelo
61_hand,hand,1277,HAND,mano
63_head,head,1256,HEAD,cabeza
65_heart,heart,1223,HEART,corazon
78_leg,leg,1297,LEG,pierna
81_liver,liver,1224,LIVER,higado
86_meatflesh,meat (flesh),634,MEAT,carne
89_mouth,mouth,674,MOUTH,boca
93_neck,neck,1333,NECK,cuello
96_nose,nose,1221,NOSE,nariz
123_skinofperson,skin [of person],2613,SKIN (HUMAN),piel
145_tail,tail,1220,TAIL,rabo cola
154_tongue,tongue,1205,TONGUE,lengua
155_toothfront,tooth [front],1380,TOOTH,diente
174_wing,wing,1257,WING,ala
