,,,,,,,,,,,ROOT,ROOT,FORMATIVE,FORMATIVE
ID,DOCULECT,CONCEPT,SPANISH,VALUE,FORM,TOKENS,MORPHEMES,COGID,COGIDS,NOTES,9,81,79,10
567,Marubo,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
568,Katukina,hair,cabello pelo,βuu,βuu,β u,hair,539,9,,1,0,0,0
569,Kanamari,hair,cabello pelo,βuu,βuu,β u,hair,539,9,,1,0,0,0
570,Shipibo_Konibo,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
571,Kapanawa,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
572,Arara,hair,cabello pelo,hu,hu,h u,hair,539,9,,1,0,0,0
573,Shanenawa,hair,cabello pelo,ɸu,ɸu,ɸ u,hair,539,9,,1,0,0,0
574,Yawanawa,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
575,Nukini,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
576,Poyanawa,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
577,Iskonawa,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
578,Chakobo,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
580,Kakataibo,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
583,Chaninawa,hair,cabello pelo,ɸu,ɸu,ɸ u,hair,539,9,,1,0,0,0
584,Sharanawa,hair,cabello pelo,ɸu,ɸu,ɸ u,hair,539,9,,1,0,0,0
585,Amawaka,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
588,Yaminawa,hair,cabello pelo,hu,hu,ɸ u,hair,539,9,,1,0,0,0
589,Kashinawa_P,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
590,Kashinawa_B,hair,cabello pelo,βu,βu,β u,hair,539,9,,1,0,0,0
579,Pakawara,hair,cabello pelo,wuu,wuu,w u  u,hair,539,9,,1,0,0,0
582,Mastanawa,hair,cabello pelo,fuʔu,fuʔu,f u +  u,hair,539,9,,1,0,0,0
586,Nawa,hair,cabello pelo,ɸuʔu,ɸuʔu,ɸ u ʔ u,hair,539,9,,1,0,0,0
587,Marinawa,hair,cabello pelo,ɸuʔu,ɸuʔu,ɸ u ʔ u,hair,539,9,,1,0,0,0
581,Kaxarari,hair,cabello pelo,wɨʂkatʃani,wɨʂkatʃani,w ɨ + ʂ k a + tʃ a n i,forehead _:suffix/ʂka bodyhair,542,81 79 10,!,0,1,1,1
