,,,,,,,,,,,ROOT,FORMATIVE
ID,DOCULECT,CONCEPT,SPANISH,VALUE,FORM,TOKENS,MORPHEMES,COGID,COGIDS,NOTES,166,6
720,Matses,tongue,lengua,ana,ana,a n + a,mouth/tongue _a,1330,166 6,,1,1
721,Matis,tongue,lengua,ana,ana,a n + a,mouth/tongue _a,1330,166 6,,1,1
723,Katukina,tongue,lengua,ana,ana,a n + a,mouth/tongue _a,1330,166 6,,1,1
724,Kanamari,tongue,lengua,hana,hana,h a n + a,mouth/tongue _a,1330,166 6,,1,1
725,Shipibo_Konibo,tongue,lengua,hana,hana,h a n + a,mouth/tongue _a,1330,166 6,,1,1
726,Kapanawa,tongue,lengua,hana,hana,h a n + a,mouth/tongue _a,1330,166 6,,1,1
727,Arara,tongue,lengua,ãda,ãda,ã d + a,mouth/tongue _a,1330,166 6,,1,1
728,Shanenawa,tongue,lengua,ana,ana,a n + a,mouth/tongue _a,1330,166 6,,1,1
729,Yawanawa,tongue,lengua,ana,ana,a n + a,mouth/tongue _a,1330,166 6,,1,1
730,Nukini,tongue,lengua,anã,anã,a n + a,mouth/tongue _a,1330,166 6,,1,1
731,Poyanawa,tongue,lengua,anda,anda,a ⁿd + a,mouth/tongue _a,1330,166 6,,1,1
732,Iskonawa,tongue,lengua,ana,ana,a n + a,mouth/tongue _a,1330,166 6,,1,1
733,Chakobo,tongue,lengua,hana,hana,h a n + a,mouth/tongue _a,1330,166 6,,1,1
734,Pakawara,tongue,lengua,hana,hana,h a n + a,mouth/tongue _a,1330,166 6,,1,1
735,Kakataibo,tongue,lengua,ana,ana,a n + a,mouth/tongue _a,1330,166 6,,1,1
736,Kaxarari,tongue,lengua,hana,hana,h a n + a,mouth/tongue _a,1330,166 6,,1,1
737,Mastanawa,tongue,lengua,ada,ada,a d + a,mouth/tongue _a,1330,166 6,,1,1
738,Chaninawa,tongue,lengua,a:da,a:da,a d + a,mouth/tongue _a,1330,166 6,,1,1
739,Sharanawa,tongue,lengua,ada,ada,a d + a,mouth/tongue _a,1330,166 6,,1,1
740,Amawaka,tongue,lengua,handa,handa,h a ⁿd + a,mouth/tongue _a,1330,166 6,,1,1
741,Nawa,tongue,lengua,a:da,a:da,a d + a,mouth/tongue _a,1330,166 6,,1,1
742,Marinawa,tongue,lengua,anda,anda,a ⁿd + a,mouth/tongue _a,1330,166 6,,1,1
743,Yaminawa,tongue,lengua,ada,ada,a d + a,mouth/tongue _a,1330,166 6,,1,1
744,Kashinawa_P,tongue,lengua,hana,hana,h a n + a,mouth/tongue _a,1330,166 6,,1,1
745,Kashinawa_B,tongue,lengua,hana,hana,h a n + a,mouth/tongue _a,1330,166 6,,1,1
722,Marubo,tongue,lengua,ana rɨβu,ana,a n + a,mouth/tongue _a,1331,166 6,,1,1
